PREFIX,URI_PREFIX
CHEBI,http://purl.obolibrary.org/obo/CHEBI
BCIO,http://humanbehaviourchange.org/ontology/BCIO
SEP,http://purl.obolibrary.org/obo/SEP
SEPIO,http://purl.obolibrary.org/obo/SEPIO
ENVO,http://purl.obolibrary.org/obo/ENVO
PO,http://purl.obolibrary.org/obo/PO
APOLLO_SV,http://purl.obolibrary.org/obo/APOLLO_SV 
STATO,http://purl.obolibrary.org/obo/STATO
OMRSE,http://purl.obolibrary.org/obo/OMRSE
UBERON,http://purl.obolibrary.org/obo/UBERON
GO,http://purl.obolibrary.org/obo/GO
DOID,http://purl.obolibrary.org/obo/DOID
OBI,http://purl.obolibrary.org/obo/OBI
BFO,http://purl.obolibrary.org/obo/BFO
OBCS,http://purl.obolibrary.org/obo/OBCS
RO,http://purl.obolibrary.org/obo/RO
IAO,http://purl.obolibrary.org/obo/IAO
MF,http://purl.obolibrary.org/obo/MF
OGMS,http://purl.obolibrary.org/obo/OGMS
PATO,http://purl.obolibrary.org/obo/PATO
MFOEM,http://purl.obolibrary.org/obo/MFOEM
CHMO,http://purl.obolibrary.org/obo/CHMO
ERO,http://purl.obolibrary.org/obo/ERO
GSSO,http://purl.obolibrary.org/obo/GSSO
AEO,http://purl.obolibrary.org/obo/AEO